snapshot,trainOrder,stop,arrivalTime,departureTime,OccupancyArrival,OccupancyDeparture,occupancyPlatformBeforeArrival,occupancyPlatform,peopleIn,FTB,peopleOut,stops,stops_output,stops_diff,peopleIn_output,peopleIn_diff,peopleIn_diff_abs,peopleIn_diff_perc,peopleIn_diff_perc_2,peopleOut_output,peopleOut_diff,peopleOut_diff_abs,peopleOut_diff_perc,peopleOut_diff_perc_2,FTB_output,FTB_diff,FTB_diff_abs,FTB_diff_perc,FTB_diff_perc_2
2019-12-02,13,SAN ISIDRO,2019-12-02T05:50:06.000Z,2019-12-02T05:51:15.000Z,0.0,175.0,148,217,175.0,42.0,0.0,True,True,False,173.7536,1.2463999999999942,1.2463999999999942,0.71223,0.71734,0.0,0.0,0.0,100.0,100.0,45.9546,-3.9545999999999992,3.9545999999999992,9.41571,8.60545
2019-12-02,14,SAN ISIDRO,2019-12-02T05:53:11.000Z,2019-12-02T05:53:29.000Z,0.0,150.0,167,189,150.0,39.0,0.0,True,True,False,156.9431,-6.943099999999987,6.943099999999987,4.62873,4.42396,0.0,0.0,0.0,100.0,100.0,42.0114,-3.011400000000002,3.011400000000002,7.72154,7.16805
2019-12-02,14,LOS ANDES,2019-12-02T05:56:05.000Z,2019-12-02T05:56:47.000Z,150.0,243.0,94,119,96.0,23.0,3.0,True,True,False,97.58520000000001,-1.5852000000000146,1.5852000000000146,1.65125,1.62443,3.1768,-0.17680000000000007,0.17680000000000007,5.89333,5.56535,20.494500000000002,2.505499999999998,2.505499999999998,10.89348,12.22523
2019-12-02,14,PAN DE AZUCAR,2019-12-02T05:58:32.000Z,2019-12-02T05:58:53.000Z,243.0,261.0,23,24,18.0,6.0,0.0,True,True,False,22.0,-4.0,4.0,22.22222,18.18182,0.2752,-0.2752,0.2752,100.0,100.0,0.0,6.0,6.0,100.0,100.0
2019-12-02,14,SAN MIGUELITO,2019-12-02T06:00:44.000Z,2019-12-02T06:01:02.000Z,261.0,308.0,134,140,106.0,34.0,59.0,True,True,False,70.8701,35.129900000000006,35.129900000000006,33.14142,49.56942,62.596,-3.5959999999999965,3.5959999999999965,6.09492,5.74478,0.0,34.0,34.0,100.0,100.0
2019-12-02,15,SAN ISIDRO,2019-12-02T05:56:12.000Z,2019-12-02T05:56:36.000Z,0.0,219.0,238,271,219.0,52.0,0.0,True,True,False,220.1692,-1.1691999999999894,1.1691999999999894,0.53388,0.53105,0.0,0.0,0.0,100.0,100.0,56.8422,-4.842199999999998,4.842199999999998,9.31192,8.51867
2019-12-02,15,LOS ANDES,2019-12-02T05:59:06.000Z,2019-12-02T05:59:24.000Z,219.0,310.0,116,140,96.0,44.0,5.0,True,True,False,117.4524,-21.452399999999997,21.452399999999997,22.34625,18.26476,3.3727,1.6273,1.6273,32.546,48.24918,22.042099999999998,21.957900000000002,21.957900000000002,49.90432,99.618
2019-12-02,15,SAN MIGUELITO,2019-12-02T06:03:24.000Z,2019-12-02T06:03:42.000Z,359.0,322.0,68,71,42.0,29.0,79.0,True,True,False,38.0,4.0,4.0,9.52381,10.52632,84.669,-5.668999999999997,5.668999999999997,7.17595,6.69548,0.0,29.0,29.0,100.0,100.0
2019-12-02,15,PAN DE AZUCAR,2019-12-02T06:01:03.000Z,2019-12-02T06:01:33.000Z,310.0,359.0,51,54,49.0,5.0,0.0,True,True,False,48.8196,0.18039999999999878,0.18039999999999878,0.36816,0.36952,0.7581,-0.7581,0.7581,100.0,100.0,0.1804,4.8196,4.8196,96.392,2671.61863
2019-12-02,16,PAN DE AZUCAR,2019-12-02T06:03:38.000Z,2019-12-02T06:04:08.000Z,342.0,372.0,37,39,32.0,7.0,2.0,True,True,False,35.1804,-3.180399999999999,3.180399999999999,9.93875,9.04026,0.9772,1.0228000000000002,1.0228000000000002,51.14,104.66639,0.0,7.0,7.0,100.0,100.0
2019-12-02,16,SAN MIGUELITO,2019-12-02T06:06:08.000Z,2019-12-02T06:06:23.000Z,372.0,349.0,100,103,61.0,42.0,84.0,True,True,False,74.0,-13.0,13.0,21.31148,17.56757,77.8386,6.1614,6.1614,7.335,7.91561,0.0,42.0,42.0,100.0,100.0
2019-12-02,16,LOS ANDES,2019-12-02T06:01:26.000Z,2019-12-02T06:01:59.000Z,193.0,342.0,168,188,150.0,38.0,1.0,True,True,False,140.8413,9.15870000000001,9.15870000000001,6.1058,6.50285,1.461,-0.4610000000000001,0.4610000000000001,46.1,31.55373,28.2007,9.799299999999999,9.799299999999999,25.78763,34.74843
2019-12-02,16,SAN ISIDRO,2019-12-02T05:58:41.000Z,2019-12-02T05:58:56.000Z,0.0,193.0,222,244,193.0,51.0,0.0,True,True,False,204.6422,-11.642200000000003,11.642200000000003,6.03223,5.68905,0.0,0.0,0.0,100.0,100.0,53.2,-2.200000000000003,2.200000000000003,4.31373,4.13534
2019-12-02,17,PAN DE AZUCAR,2019-12-02T06:06:53.000Z,2019-12-02T06:07:05.000Z,402.0,424.0,29,32,22.0,10.0,0.0,True,True,False,25.0,-3.0,3.0,13.63636,12.0,1.0176,-1.0176,1.0176,100.0,100.0,0.0,10.0,10.0,100.0,100.0
2019-12-02,17,SAN MIGUELITO,2019-12-02T06:08:59.000Z,2019-12-02T06:09:20.000Z,424.0,486.0,162,168,148.0,20.0,86.0,True,True,False,119.5983,28.401700000000005,28.401700000000005,19.19034,23.74758,87.5856,-1.5855999999999995,1.5855999999999995,1.84372,1.81034,11.4017,8.5983,8.5983,42.9915,75.41244
2019-12-02,17,SAN ISIDRO,2019-12-02T06:02:05.000Z,2019-12-02T06:02:20.000Z,0.0,235.0,267,292,235.0,57.0,0.0,True,True,False,242.1919,-7.191900000000004,7.191900000000004,3.06038,2.9695,0.0,0.0,0.0,100.0,100.0,62.0079,-5.007899999999999,5.007899999999999,8.78579,8.07623
2019-12-02,17,LOS ANDES,2019-12-02T06:04:59.000Z,2019-12-02T06:05:14.000Z,235.0,402.0,200,205,168.0,37.0,1.0,True,True,False,168.3494,-0.3494000000000028,0.3494000000000028,0.20798,0.20754,2.5235,-1.5234999999999999,1.5234999999999999,152.35,60.3725,32.8514,4.148600000000002,4.148600000000002,11.21243,12.62838
2019-12-02,18,SAN ISIDRO,2019-12-02T06:04:40.000Z,2019-12-02T06:04:58.000Z,0.0,214.0,241,261,214.0,47.0,0.0,True,True,False,219.3565,-5.356500000000011,5.356500000000011,2.50304,2.44192,0.0,0.0,0.0,100.0,100.0,56.6515,-9.651499999999999,9.651499999999999,20.53511,17.03662
2019-12-02,18,LOS ANDES,2019-12-02T06:07:28.000Z,2019-12-02T06:07:43.000Z,214.0,349.0,153,172,139.0,33.0,4.0,True,True,False,143.646,-4.645999999999987,4.645999999999987,3.34245,3.23434,2.947,1.053,1.053,26.325,35.73125,28.2054,4.794599999999999,4.794599999999999,14.52909,16.99887
2019-12-02,18,PAN DE AZUCAR,2019-12-02T06:09:25.000Z,2019-12-02T06:09:46.000Z,349.0,379.0,41,48,31.0,17.0,1.0,True,True,False,39.0,-8.0,8.0,25.80645,20.51282,0.247,0.753,0.753,75.3,304.8583,0.0,17.0,17.0,100.0,100.0
2019-12-02,18,SAN MIGUELITO,2019-12-02T06:11:40.000Z,2019-12-02T06:11:55.000Z,379.0,357.0,216,221,65.0,156.0,87.0,True,True,False,158.1752,-93.17519999999999,93.17519999999999,143.34646,58.90633,85.4871,1.512900000000002,1.512900000000002,1.73897,1.76974,56.2265,99.7735,99.7735,63.95737,177.44925
2019-12-02,19,SAN ISIDRO,2019-12-02T06:07:25.000Z,2019-12-02T06:07:43.000Z,0.0,229.0,267,296,229.0,67.0,0.0,True,True,False,251.46779999999998,-22.467799999999983,22.467799999999983,9.81127,8.93466,0.0,0.0,0.0,100.0,100.0,64.1838,2.816199999999995,2.816199999999995,4.20328,4.38771
2019-12-02,19,SAN MIGUELITO,2019-12-02T06:14:22.000Z,2019-12-02T06:14:49.000Z,418.0,489.0,191,201,174.0,27.0,103.0,True,True,False,103.2265,70.7735,70.7735,40.67443,68.56137,102.3656,0.6343999999999994,0.6343999999999994,0.61592,0.61974,0.0,27.0,27.0,100.0,100.0
2019-12-02,19,PAN DE AZUCAR,2019-12-02T06:12:13.000Z,2019-12-02T06:12:28.000Z,372.0,418.0,56,57,49.0,8.0,3.0,True,True,False,42.0,7.0,7.0,14.28571,16.66667,2.2566,0.7433999999999998,0.7433999999999998,24.78,32.94337,0.0,8.0,8.0,100.0,100.0
2019-12-02,19,LOS ANDES,2019-12-02T06:10:13.000Z,2019-12-02T06:10:31.000Z,229.0,372.0,167,186,146.0,40.0,3.0,True,True,False,158.2031,-12.203100000000006,12.203100000000006,8.35829,7.71357,2.2986,0.7014,0.7014,23.38,30.51423,30.002299999999998,9.997700000000002,9.997700000000002,24.99425,33.32311
2019-12-02,20,SAN ISIDRO,2019-12-02T06:10:22.000Z,2019-12-02T06:10:34.000Z,0.0,269.0,300,310,269.0,41.0,0.0,True,True,False,252.7089,16.2911,16.2911,6.05617,6.44659,0.0,0.0,0.0,100.0,100.0,64.4749,-23.474900000000005,23.474900000000005,57.25585,36.40936
